% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
5.191	1	1	520	2	1	14	1527	14	1527
5.192	1	1	520	3	1	14	1527	14	1527
5.193	1	1	520	4	1	14	1527	14	1527
5.206	1	1	521	7	1	14	1527	14	1527
5.207	1	1	521	8	1	14	1527	14	1527
5.208	1	1	521	9	1	14	1527	14	1527
5.209	1	1	521	10	1	14	1527	14	1527
5.216	1	1	522	7	1	0	0	14	1527
5.221	1	1	523	2	1	14	1527	14	1527
5.222	1	1	523	3	1	14	1527	14	1527
5.223	1	1	523	4	1	14	1527	14	1527
5.224	1	1	523	5	1	14	1527	14	1527
5.231	1	1	524	2	1	0	0	14	1527
5.236	1	1	524	7	1	14	1527	14	1527
5.237	1	1	524	8	1	14	1527	14	1527
5.238	1	1	524	9	1	14	1527	14	1527
5.239	1	1	524	10	1	14	1527	14	1527
5.246	1	1	525	7	1	0	0	14	1527
5.251	1	1	526	2	1	14	1527	14	1527
5.252	1	1	526	3	1	14	1527	14	1527
5.253	1	1	526	4	1	14	1527	14	1527
5.254	1	1	526	5	1	14	1527	14	1527
5.261	1	1	527	2	1	0	0	14	1527
5.266	1	1	527	7	1	14	1527	14	1527
5.267	1	1	527	8	1	14	1527	14	1527
5.268	1	1	527	9	1	14	1527	14	1527
5.269	1	1	527	10	1	14	1527	14	1527
5.276	1	1	528	7	1	0	0	14	1527
5.281	1	1	529	2	1	14	1527	14	1527
5.282	1	1	529	3	1	14	1527	14	1527
5.283	1	1	529	4	1	14	1527	14	1527
5.284	1	1	529	5	1	14	1527	14	1527
5.291	1	1	530	2	1	0	0	14	1527
5.296	1	1	530	7	1	14	1527	14	1527
5.297	1	1	530	8	1	14	1527	14	1527
5.311	1	1	532	2	1	14	1527	14	1527
5.312	1	1	532	3	1	14	1527	14	1527
5.326	1	1	533	7	1	14	1527	14	1527
5.327	1	1	533	8	1	14	1527	14	1527
5.341	1	1	535	2	1	14	1527	14	1527
5.342	1	1	535	3	1	14	1527	14	1527
5.356	1	1	536	7	1	14	1527	14	1527
5.357	1	1	536	8	1	14	1527	14	1527
5.371	1	1	538	2	1	14	1527	14	1527
5.372	1	1	538	3	1	14	1527	14	1527
5.386	1	1	539	7	1	14	1527	14	1527
5.387	1	1	539	8	1	14	1527	14	1527
5.388	1	1	539	9	1	14	1527	14	1527
5.395	1	1	540	6	1	0	0	14	1527
5.401	1	1	541	2	1	14	1527	14	1527
5.402	1	1	541	3	1	14	1527	14	1527
5.416	1	1	542	7	1	14	1527	14	1527
5.417	1	1	542	8	1	14	1527	14	1527
5.418	1	1	542	9	1	14	1527	14	1527
5.425	1	1	543	6	1	0	0	14	1527
5.431	1	1	544	2	1	14	1527	14	1527
5.432	1	1	544	3	1	14	1527	14	1527
5.433	1	1	544	4	1	14	1527	14	1527
5.44	1	1	545	1	1	0	0	14	1527
5.446	1	1	545	7	1	14	1527	14	1527
5.447	1	1	545	8	1	14	1527	14	1527
5.448	1	1	545	9	1	14	1527	14	1527
5.461	1	1	547	2	1	14	1527	14	1527
5.462	1	1	547	3	1	14	1527	14	1527
5.463	1	1	547	4	1	14	1527	14	1527
